   UGC nrc sb   eps incl  vhel   vlg  vcmb dv15q  eta15 dv20q  eta20  vmax  evmax vdisk evdisk viso   eviso  vopt  evopt Whist ewhist  ls_m  ls_r  ls24  n sd24 r23kpc r24kpc r25kpc  rmaxkpc rmax"  h["]   hkpc rmax/rop rm/h   rp/h rmag23 rmag24 rmag25  abcor extcor   rmag  rm2_2 absm23 absm25 absm2_2 absmr absBRC3  B-R   L_B  L_B*    D/T  D/M2_2   CSB   DIST  FACT Gamma Rt/Rop F QHF   UGC  Hubble
   [1] [2][3]   [4]  [5]   [6]   [7]   [8]   [9]  [10]   [11]  [12]   [13]  [14]   [15]  [16]   [17]  [18]   [19]   [20]  [21]   [22]  [23]  [24]  [25][26][27]   [28]   [29]   [30]   [31]   [32]   [33]   [34]   [35]   [36]   [37]   [38]   [39]   [40]   [41]   [42]   [43]   [44]   [45]   [46]   [47]   [48]   [49]  [50]  [51]  [52]   [53]   [54]   [55]   [56]  [57]  [58]  [59][60][61] [62]  [63]
    14  1  1  0.369 52.1  7260  7522  6913 408.7  0.111 408.2  0.111 406.0  0.109 402.6  0.105 401.7  0.104 404.9  0.107 415.0  0.118  0.03  0.03  0.21  6 0.67  12.76   0.00  26.83  29.58  56.79  12.68   6.60   1.40   4.48   4.48  13.90  13.56  13.48   0.10  -0.14  13.38  13.79 -21.26 -21.68 -21.37 -21.78 -21.34  0.43 3.440 1.370   0.90   0.83  20.49 107.45 0.521  1.40  0.04  1  0     14  Sc   
   111  1  2  0.629 70.7  6342  6567  5986 229.6 -0.139 231.1 -0.136 237.4 -0.125 229.3 -0.140 227.7 -0.143   0.0  9.999 227.6 -0.143  0.21  0.18  0.00  5 0.00   8.45   0.00  14.49  12.28  27.00   9.11   4.14   0.93   2.96   2.96  14.98  14.81  14.75   0.10   0.01  14.69  15.11 -19.89 -20.12 -19.76 -20.18 -20.05  0.13 1.048 0.417   1.08   1.00  19.69  93.82 0.455  1.30  0.15  2  0    111  Sc   
   166  1  2  0.441 57.5  4834  5109  4507 277.1 -0.057 278.7 -0.055 289.4 -0.038 287.6 -0.041 287.0 -0.042 289.3 -0.039 277.7 -0.056  0.22  0.27  0.16  7 0.54   8.51   0.00  16.08  14.95  42.26  11.82   4.18   1.12   3.58   3.58  14.58  14.32  14.18   0.09  -0.14  14.04  14.41 -19.74 -20.14 -19.91 -20.28 -19.43  0.85 0.591 0.235   0.79   0.70  21.17  72.99 0.354  4.70  0.32  1  0    166  Sc   
   179  1  1  0.466 59.3  4464  4723  4124 228.5 -0.141 232.9 -0.133 251.5 -0.099 230.3 -0.138 230.8 -0.137 244.2 -0.112 237.8 -0.124  0.22  0.26 -0.56  6 1.37   5.39   0.00  10.35  11.77  35.99   7.57   2.48   1.49   4.75   4.75  15.13  14.90  14.80   0.06  -0.14  14.72  15.11 -19.01 -19.34 -19.03 -19.42 -19.08  0.34 0.429 0.171   0.88   0.80  20.50  67.47 0.327  1.90  0.32  1  0    179  Sc   
   195  2  1  0.695 75.5  5710  5917  5356 248.4 -0.105 247.2 -0.107 261.5 -0.082 242.4 -0.116 254.4 -0.095 258.7 -0.087 252.4 -0.097  0.25  0.30  0.61  6 1.60  10.79   0.00  17.88  13.27  32.38   9.44   3.87   1.07   3.43   3.43  14.45  14.28  14.21   0.08   0.09  14.16  14.67 -20.19 -20.43 -19.97 -20.48 -20.18  0.29 1.185 0.472   1.08   1.10  19.68  84.52 0.410  0.90  0.14  2  0    195  Sb-c 
   210  1  1  0.553 65.4  4468  4726  4129 226.2 -0.146 229.0 -0.140 269.8 -0.069 231.6 -0.135 245.8 -0.109 255.3 -0.093 258.3 -0.088  0.30  0.31  0.02  6 0.60   6.37   0.00  10.12  10.11  30.89   7.18   2.35   1.34   4.30   4.30  14.88  14.70  14.66   0.05  -0.06  14.59  15.09 -19.26 -19.48 -19.05 -19.55 -19.33  0.22 0.540 0.215   1.13   1.14  19.68  67.52 0.327  1.00  0.27  2  0    210  Sb   
   229  1  1  0.371 52.2  7208  7477  6879 246.2 -0.109 247.4 -0.107 286.5 -0.043 231.3 -0.136 250.2 -0.102 261.4 -0.083 249.0 -0.104  0.35  0.24  0.00  4 0.00   7.19   0.00  11.53  12.30  23.76   5.05   2.62   1.47   4.70   4.70  15.32  15.13  15.08   0.07  -0.14  15.01  15.56 -19.82 -20.06 -19.58 -20.13 -19.90  0.24 0.911 0.363   1.19   1.25  19.56 106.82 0.518  0.90  0.33  1  0    229  Sb   
   272  1  1  0.587 67.8  3897  4070  3551 224.2 -0.149 224.7 -0.148 252.7 -0.097 232.3 -0.134 234.0 -0.131 251.6 -0.099 225.5 -0.147  0.39  0.41  2.31  9 0.94   7.60   0.00  12.84  11.32  40.17  12.18   3.43   1.03   3.30   3.30  14.94  14.64  14.51   0.02  -0.03  14.42  15.16 -18.89 -19.32 -18.67 -19.41 -18.76  0.64 0.320 0.127   1.38   1.73  20.08  58.14 0.282  1.80  0.37  1  0    272  Sc   
   299  1  4  0.454 58.4  6305  6579  5986 383.9  0.084 379.1  0.079 442.2  0.146 370.6  0.069 372.9  0.072 413.9  0.117 393.1  0.095  0.33  0.33  0.00  4 0.00   9.22   0.00  17.41  17.71  38.87   9.21   4.20   1.32   4.22   4.22  14.79  14.54  14.42   0.10  -0.14  14.32  14.70 -20.08 -20.45 -20.17 -20.55 -19.89  0.66 0.904 0.360   0.85   0.76  20.77  93.99 0.456  0.60  0.17  1  0    299  Sc   
   310  1  1  0.734 78.5  4663  4932  4339 175.3 -0.256 179.1 -0.247 190.2 -0.221 170.5 -0.268 177.3 -0.251   0.0  9.999 163.6 -0.286  0.49  0.49  1.71  8 1.26   8.26   0.00  14.16   9.92  29.04  10.18   3.48   0.89   2.85   2.85  14.92  14.72  14.64   0.08   0.15  14.56  15.07 -19.32 -19.60 -19.17 -19.68 -19.77 -0.09 0.810 0.322   1.12   1.14  19.93  70.45 0.342  0.70  0.41  2  0    310  Sc   
   346  2  3  0.562 66.1  5871  6145  5556 281.3 -0.051 279.7 -0.053 303.0 -0.019 280.3 -0.053   0.0  9.999   0.0  9.999 277.5 -0.057  0.40  0.40 -0.69  6 0.67  10.33   0.00  14.73   9.43  22.17   8.08   3.44   0.86   2.74   2.74  14.45  14.34  14.29   0.12  -0.06  14.25  15.21 -20.26 -20.42 -19.50 -20.46 -20.00  0.46 1.001 0.398   1.89   2.93  18.48  87.78 0.426  0.75  0.27  2  0    346  Sb-c 
   533  1  2  0.625 70.5  5475  5695  5142 266.3 -0.075 265.9 -0.075 269.4 -0.070 243.9 -0.113 246.3 -0.108 266.2 -0.075 231.5 -0.136  0.38  0.29  0.22  6 0.70   8.41   0.00  14.85  13.02  33.00   9.55   3.77   1.08   3.46   3.46  15.02  14.72  14.66   0.09   0.01  14.58  15.25 -19.54 -19.90 -19.31 -19.98 -19.79  0.19 0.820 0.327   1.38   1.62  19.75  81.36 0.394  1.60  0.38  2  0    533  Sc   
